"Rank","Title","Status","Study Results","Conditions","Interventions","Gender","Age","Phases","Enrollment","Completion Date","Locations","URL"
60,"Study of Intravenous Administration of Allogeneic Adipose-Derived Mesenchymal Stem Cells for COVID-19-Induced Acute Respiratory Distress","Withdrawn","No Results Available","Covid19|ARDS","Drug: COVI-MSC|Drug: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2","0","September 2021","Fresno Community Hospital, Fresno, California, United States","https://ClinicalTrials.gov/show/NCT04728698"
61,"Critical Care Results of SARS-CoV-2 ARDS by Dapsone and Standard COVID-19 Treatment","Recruiting","No Results Available","SARS-CoV-2|Hypoxia|ARDS","Drug: Dapsone 100 MG","All","18 Years to 100 Years   (Adult, Older Adult)","Early Phase 1","100","December 31, 2021","Hunt Regional Medical Center, Greenville, Texas, United States","https://ClinicalTrials.gov/show/NCT04918914"
62,"Effects of mTOR Inhibition With Sirolimus (RAPA) in Patients With COVID-19 to Moderate the Progression of ARDS","Withdrawn","No Results Available","Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS)|Respiratory Failure|Sars-CoV2","Drug: Rapamycin|Drug: Placebo","All","60 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","0","January 2023","University Hospital System, San Antonio, Texas, United States|Audie L Murphy Memorial Veterans Hospital, San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT04482712"
63,"Umbilical Cord Lining Stem Cells (ULSC) in Patients With COVID-19 ARDS","Active, not recruiting","No Results Available","Covid19|Corona Virus Infection|SARS-CoV Infection|ARDS|Coronavirus","Biological: Umbilical Cord Lining Stem Cells (ULSC)|Other: Placebo (carrier control)","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","17","July 31, 2023","Miami Baptist Hospital, Miami, Florida, United States|Sanford Research, Sioux Falls, South Dakota, United States","https://ClinicalTrials.gov/show/NCT04494386"
64,"Multiple Dosing of Mesenchymal Stromal Cells in Patients With ARDS (COVID-19)","Active, not recruiting","No Results Available","Acute Respiratory Distress Syndrome|ARDS (Moderate or Severe)|COVID-19 Pneumonia","Biological: Mesenchymal stromal cells|Other: Placebo","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","9","December 2023","University of Minnesota, Minneapolis, Minnesota, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04466098"
65,"RAPA-501-Allo Therapy of COVID-19-ARDS","Terminated","No Results Available","Severe COVID-19 Disease","Biological: RAPA-501-Allo off-the-shelf Therapy of COVID-19|Other: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","1","September 13, 2021","Hackensack University Medical Center, Hackensack, New Jersey, United States","https://ClinicalTrials.gov/show/NCT04482699"
66,"Simvastatin Effect on the Incidence of Acute Lung Injury/Adult Respiratory Distress Syndrome (ALI/ARDS)","Withdrawn","No Results Available","Adult Respiratory Distress Syndrome|Acute Lung Injury","Drug: Simvastatin|Drug: Placebo","All","18 Years and older   (Adult, Older Adult)","Not Applicable","0","October 2011","OU Medical Center, Oklahoma City, Oklahoma, United States|Veterans Affairs Medical Center, Oklahoma City, Oklahoma, United States","https://ClinicalTrials.gov/show/NCT01195428"
67,"Identifying PARDS Endotypes","Recruiting","No Results Available","Respiratory Distress Syndrome|Respiratory Distress Syndrome, Adult","Diagnostic Test: Respiratory epithelial cell brushing","All","1 Month to 18 Years   (Child, Adult)",,"60","March 31, 2025","Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT03539783"
68,"The Use of Maternal Serum Unconjugated Estriol for Monitoring the Prevention of Neonatal Respiratory Distress Syndrome","Completed","No Results Available","Neonatal Respiratory Distress Syndrome",,"Female","18 Years and older   (Adult, Older Adult)",,"160","June 30, 2017","Eskenazi Hospital, Indianapolis, Indiana, United States|Methodist Hospital, Indianapolis, Indiana, United States","https://ClinicalTrials.gov/show/NCT02112513"
69,"SP16 as a Therapeutic for COVID-19 Induced ARDS","Recruiting","No Results Available","SARS CoV 2 Infection|Pneumonia","Drug: SP16 (6mg)|Other: Placebo|Drug: SP16 (12 mg)","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","20","March 2024","UVA Health Center, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT05135624"
70,"Ketamine Infusion as Sedative Analgesic in Severe ARDS","Completed","No Results Available","Intensive Care Unit Syndrome|Mechanical Ventilation Complication|Sedatives and Hypnotics Causing Adverse Effects in Therapeutic Use|Delirium",,"All","18 Years to 90 Years   (Adult, Older Adult)",,"124","February 14, 2021","Interfaith Medical Center, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04818827"
71,"Randomized Controlled Trial of Surfactant Delivery Via Laryngeal Mask Airway (LMA) Versus Endotracheal Intubation","Completed","Has Results","Respiratory Distress Syndrome, Newborn","Device: Endotracheal tube insertion|Device: Laryngeal mask airway insertion","All","4 Hours to 48 Hours   (Child)","Phase 4","61","November 2012","Albany Medical Center, Albany, New York, United States","https://ClinicalTrials.gov/show/NCT01042600"
72,"Feasibility of Upright Bed Position in ARDS Patients","Completed","No Results Available","Critical Illness|Acute Respiratory Failure|Adult Syndrome","Other: Intervention Arm","All","18 Years and older   (Adult, Older Adult)","Not Applicable","10","June 2015","Wake Forest Baptist Health, Medical Intensive Care Unit, Winston-Salem, North Carolina, United States","https://ClinicalTrials.gov/show/NCT02160561"
